Ticker,last_date,current_price,rating_group,ml_var5_price_1q,ml_min_price_1q,ml_var5_price_2q,ml_min_price_2q,breakeven_price_rating_1q,breakeven_price_rating_2q,mc_min_p5_1q,mc_min_p3_1q,mc_min_p1_1q,mc_min_p01_1q,mc_min_p5_2q,mc_min_p3_2q,mc_min_p1_2q,mc_min_p01_2q,dd_q05_1q,dd_q03_1q,dd_q01_1q,dd_q001_1q,dd_q05_2q,dd_q03_2q,dd_q01_2q,dd_q001_2q
ACS,2025-11-17,4.7,B,3.521105608344078,2.437117385864258,3.149647906422615,2.0832377433776856,1.6559404209256172,1.47110795378685,3.53019687342417e-21,3.685861514047806e-22,8.987508417617954e-24,7.465952526223653e-26,2.559545304705791e-38,2.698843667223941e-39,3.350071330530011e-41,8.572018203050429e-46,-0.2508285939693451,-0.2953445017337799,-0.36525052785873413,-0.4814643859863281,-0.32986214756965637,-0.3739966154098511,-0.44013121724128723,-0.556757926940918
ACV,2025-11-17,54.8,A,38.2855677485466,34.01960909366608,35.32895685434341,29.89874428510666,19.1427838742733,17.664478427171705,14.745237902580579,10.332459537327793,5.092232065930856,0.3686230465347998,16.336721029500318,10.54089560876983,4.843573049227613,0.2798510345997231,-0.30135825276374817,-0.33027464151382446,-0.36305657029151917,-0.3792042136192322,-0.35531100630760193,-0.37425991892814636,-0.4220610558986664,-0.45440247654914856
ADC,2025-11-17,20.2,B,13.508962267637253,7.94824548959732,12.096924352645873,6.792577636241913,6.2723602861166,5.505276155471802,0.09784913643461621,0.032718231969059715,0.007165752746795955,0.00013369055953286714,0.06472322085751211,0.022760112865193933,0.003420423731207534,4.5877844585373306e-05,-0.3312394917011261,-0.37897422909736633,-0.46427905559539795,-0.6065225005149841,-0.4011423587799072,-0.454923152923584,-0.5370306372642517,-0.6637337803840637
ADG,2025-11-17,9.3,B,6.9299861848354345,4.814819410443306,6.305706569552422,4.143170106410981,3.292844004929066,2.951294441521168,6.11527357272867e-17,4.213013462248236e-18,1.2037789350883577e-19,8.890928205501848e-22,5.443576660037806e-31,4.484283868038695e-32,7.85227675727093e-34,6.787896558820429e-38,-0.2548401951789856,-0.29186150431632996,-0.37187159061431885,-0.4822774827480316,-0.3219670355319977,-0.36531302332878113,-0.44070079922676086,-0.5544978380203247
ADP,2025-11-17,23.45,A,18.757632526755334,13.568777763843537,16.765943594276905,11.39538756608963,9.378816263377667,8.382971797138453,1.100194491218813,0.5826240897500718,0.20696313593148918,0.01813391322840888,1.181175601921642,0.6043148715054064,0.13996694880264723,0.012409312381771669,-0.20010095834732056,-0.2426995038986206,-0.31144070625305176,-0.4213740825653076,-0.2850343883037567,-0.32552146911621094,-0.4004786014556885,-0.5140559673309326
ADS,2025-11-17,8.27,B,6.184976323843002,4.471094743013381,5.5520923694968225,3.7119897949695586,2.948785637617111,2.6098384295403956,1.8625513052083555e-21,4.392281523891014e-22,3.3605069583018965e-23,9.354311553091836e-25,1.8857770025403482e-40,1.743212077858666e-41,3.7395662284430056e-43,1.0326079028124325e-45,-0.25211894512176514,-0.28687167167663574,-0.35385140776634216,-0.4593597650527954,-0.32864663004875183,-0.3688419759273529,-0.43197667598724365,-0.5511499643325806
AFX,2025-11-17,13.1,B,9.149068379402161,6.385516965389251,8.179081580042839,4.960038715600967,4.346130232512951,3.7765411406755445,6.084062078920716e-10,1.2181520757448627e-10,4.363288601930828e-12,1.3938656338437461e-14,1.4725979424994318e-16,9.205075696628111e-18,8.797056754766737e-20,2.1879077864706206e-23,-0.30159783363342285,-0.3364686667919159,-0.40311959385871887,-0.5125559568405151,-0.3756426274776459,-0.42342883348464966,-0.5083047151565552,-0.6213710904121399
AG1,2025-11-17,11.3,B,7.685854652523995,4.800477516651154,7.0153752893209465,4.373386526107788,3.5661270275712016,3.261891730129719,2.0426536070704963e-07,3.129334492710818e-08,1.064839423554138e-09,6.573207419717839e-13,2.5538449596478576e-11,4.525203005668282e-12,2.431790878480126e-14,1.5095064160743023e-17,-0.3198358714580536,-0.36882707476615906,-0.4429025948047638,-0.5751789808273315,-0.37917032837867737,-0.4226740300655365,-0.501202404499054,-0.6129746437072754
AGE,2023-09-21,9.1,,6.566274118423462,4.548342961072922,6.141214886307716,4.021636188030243,,,0.1326322771297105,0.06208532856747176,0.0158772012424765,0.0011350075818650038,0.11929343650530348,0.06011287565621504,0.01308019236283415,0.00029141218620607704,-0.27843141555786133,-0.3201178014278412,-0.38945603370666504,-0.5001820921897888,-0.32514122128486633,-0.37128978967666626,-0.4479772448539734,-0.558061957359314
AGF,2025-11-17,2.1,B,1.3574460178613663,0.9596949040889741,1.1792488485574724,0.8509923577308656,0.6417127221822739,0.5475995868444443,7.782912555677605e-54,1.0285638599554342e-54,2.5220780224751896e-56,1.863751206147721e-58,6.32086737366256e-104,3.394133730619898e-105,1.496975659945583e-107,9.032268834117066e-111,-0.35359713435173035,-0.3888450264930725,-0.46341198682785034,-0.5430024266242981,-0.43845292925834656,-0.4784765839576721,-0.5354735851287842,-0.5947655439376831
