Ticker,last_date,current_price,horizon,ml_pred,mc_p5,mc_median,mc_p95,mu,sigma
AGX,2025-11-17,151.1,30d,156.44958219017403,91.44147579685504,144.9815895356054,228.05814752616322,-0.0014667267436981116,0.05086272425523092
AIC,2025-11-17,10.0,1d,10.021418224659737,9.666221614658566,9.991282873238717,10.331877733859994,-0.000813169402823867,0.020125912337467525
AIC,2025-11-17,10.0,3d,10.029674797549465,9.418789139082516,9.971608197955938,10.55330567751769,-0.000813169402823867,0.020125912337467525
AIC,2025-11-17,10.0,7d,10.064778961877867,9.120516155031403,9.950004526030897,10.839087666498385,-0.000813169402823867,0.020125912337467525
AIC,2025-11-17,10.0,30d,10.056481022227292,8.12595449608744,9.77495887313385,11.680074591465665,-0.000813169402823867,0.020125912337467525
AIG,2025-11-17,44.4,1d,44.274598483982054,43.39859792521792,44.384333378013864,45.34114351492846,-0.0002607129511742344,0.013321706541048597
AIG,2025-11-17,44.4,3d,44.22118911863082,42.712449776368544,44.38147378605875,46.06404810338484,-0.0002607129511742344,0.013321706541048597
AIG,2025-11-17,44.4,7d,44.22994916026595,41.80928148121714,44.30875162200503,46.956499859549965,-0.0002607129511742344,0.013321706541048597
AIG,2025-11-17,44.4,30d,44.332276901433964,39.129630285306064,44.067816409492174,49.629625932489255,-0.0002607129511742344,0.013321706541048597
ALT,2025-11-17,13.1,1d,13.057210701641296,12.25224257703587,13.090198258058695,13.977116102534014,-0.0002525300836767073,0.039977677846553546
ALT,2025-11-17,13.1,3d,13.037250054824362,11.705331998680276,13.090843135642704,14.715516516016136,-0.0002525300836767073,0.039977677846553546
ALT,2025-11-17,13.1,7d,13.077720455923458,10.999174935050833,13.091401986491494,15.579075301834033,-0.0002525300836767073,0.039977677846553546
ALT,2025-11-17,13.1,30d,12.985935025584658,9.14635449597704,13.016858788718022,18.604530770506525,-0.0002525300836767073,0.039977677846553546
ALV,2025-11-17,6.7,1d,6.740338471825379,6.3505097251849305,6.668171934636428,6.9962001193076775,-0.004879049355077056,0.02928468057526893
ALV,2025-11-17,6.7,3d,6.73579156070715,6.073201620519122,6.604465050638847,7.173973750129615,-0.004879049355077056,0.02928468057526893
ALV,2025-11-17,6.7,7d,6.75505956689889,5.69516285989899,6.470347310422026,7.342863979292572,-0.004879049355077056,0.02928468057526893
ALV,2025-11-17,6.7,30d,6.793774641951291,4.444425028042883,5.799802921049953,7.506491137993421,-0.004879049355077056,0.02928468057526893
AMC,2025-11-17,21.0,1d,20.957455491456706,20.123617302338133,21.093065350854612,22.09910476547091,0.004019367613614808,0.028400390210853953
AMC,2025-11-17,21.0,3d,20.972014250083205,19.627006613999544,21.24925339075258,23.05611830704689,0.004019367613614808,0.028400390210853953
AMC,2025-11-17,21.0,7d,20.927724655936064,19.068961430304025,21.6225665700548,24.430280978570288,0.004019367613614808,0.028400390210853953
AMC,2025-11-17,21.0,30d,20.498590702092628,18.296097844913017,23.764357195597007,30.802442950895088,0.004019367613614808,0.028400390210853953
AMD,2025-11-17,1.1,1d,1.2448657299357542,1.1,1.1,1.1,0.0,0.0
AMD,2025-11-17,1.1,3d,1.2420633607133515,1.1,1.1,1.1,0.0,0.0
AMD,2025-11-17,1.1,7d,1.2390799483984456,1.1,1.1,1.1,0.0,0.0
AMD,2025-11-17,1.1,30d,1.1853446254236812,1.1,1.1,1.1,0.0,0.0
AME,2025-11-17,8.6,1d,8.595727239823388,8.164163041494245,8.589326150597852,9.052671277780894,-0.0007577062346126241,0.03125289709941949
AME,2025-11-17,8.6,3d,8.70758805297392,7.8526131537254305,8.578933806044056,9.403553167393373,-0.0007577062346126241,0.03125289709941949
AME,2025-11-17,8.6,7d,8.716633828049128,7.45067169195213,8.551967304207478,9.804913428722127,-0.0007577062346126241,0.03125289709941949
AME,2025-11-17,8.6,30d,8.749563471124423,6.351912170476155,8.36805075481279,11.09683062130809,-0.0007577062346126241,0.03125289709941949
AMP,2025-11-17,13.4,1d,13.442877059097768,12.608161652440753,13.40057510583641,14.237501695457821,0.0007634922671882468,0.03719030551572229
AMP,2025-11-17,13.4,3d,13.447946997562706,12.065688110340012,13.428937593326719,14.915004282338924,0.0007634922671882468,0.03719030551572229
AMP,2025-11-17,13.4,7d,13.46397820504434,11.449165279836336,13.447258010035238,15.849385780696023,0.0007634922671882468,0.03719030551572229
AMP,2025-11-17,13.4,30d,13.618886014733402,9.847562457917217,13.698043030736386,18.992557650649434,0.0007634922671882468,0.03719030551572229
AMS,2025-11-17,7.8,1d,7.900475367447061,7.607701210020733,7.79538842707276,7.993409772411606,-0.0006290054663807799,0.014932162359988068
AMS,2025-11-17,7.8,3d,7.904473481576394,7.4589703713391415,7.7916802630500435,8.129853879229449,-0.0006290054663807799,0.014932162359988068
AMS,2025-11-17,7.8,7d,7.901008952591842,7.271109173959114,7.76598363657566,8.288280144902691,-0.0006290054663807799,0.014932162359988068
AMS,2025-11-17,7.8,30d,8.06166894615461,6.698459890210997,7.675939644808141,8.771808617215726,-0.0006290054663807799,0.014932162359988068
AMV,2025-11-17,2.0,1d,2.06351611416856,2.0,2.0,2.0,0.0,0.0
AMV,2025-11-17,2.0,3d,2.060762838458551,2.0,2.0,2.0,0.0,0.0
AMV,2025-11-17,2.0,7d,2.0486574430726616,2.0,2.0,2.0,0.0,0.0
AMV,2025-11-17,2.0,30d,2.059349704121491,2.0,2.0,2.0,0.0,0.0
ANT,2025-11-17,40.9,1d,40.70257225878227,39.35872009417915,41.194660346689005,43.08067584182032,0.00692155328407379,0.027306241254543794
ANT,2025-11-17,40.9,3d,40.72513055635256,38.651034943022026,41.78020270307276,45.18368150740232,0.00692155328407379,0.027306241254543794
ANT,2025-11-17,40.9,7d,40.811275746827405,38.045887891425274,42.89256506089544,48.264976033741014,0.00692155328407379,0.027306241254543794
ANT,2025-11-17,40.9,30d,41.006449266046566,39.46791232362355,50.31540380823506,64.13949945327742,0.00692155328407379,0.027306241254543794
ANV,2025-11-17,28.8,1d,28.853848965365227,27.376334185426202,28.839734465414416,30.392655634736634,0.0016726269823754115,0.03144649972219481
ANV,2025-11-17,28.8,3d,28.982043921060892,26.481750364701504,28.901487360388963,31.613216423971387,0.0016726269823754115,0.03144649972219481
ANV,2025-11-17,28.8,7d,29.135903615900546,25.434448804919043,29.08641206873755,33.49727398265141,0.0016726269823754115,0.03144649972219481
ANV,2025-11-17,28.8,30d,29.04394128854765,22.788870796355273,30.348169015145395,40.04673613895781,0.0016726269823754115,0.03144649972219481
APC,2025-11-17,7.1,1d,7.15654956973421,6.697355615807804,7.084162136457179,7.485780567613869,-0.0017794662570951001,0.034644959433446185
